              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
  685.73  674 451.15     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   82.51  567 45.71     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   27.79 4344 117.88     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  387.01 1301 491.70     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  727.47  924 656.48     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  363.87 1532 544.22     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  310.36 1001 303.39     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   48.81  903 43.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  288.46 1799 506.68     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  473.00 1139 526.31     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  545.17 1103 586.98     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  505.01 1100 542.27     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   50.31  969 47.61     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   52.20  760 38.76     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  482.39 1490 701.74     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  467.63 1607 733.75     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  379.91 1846 685.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  191.80 1112 208.23     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   39.70 1346 52.17     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  626.30  998 610.22     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  181.81 3218 571.32     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
